condition,metric,n_pairs,mean,ci95_low,ci95_high
C5(firewall),DDR,7,0.000,0.000,0.000
C5(firewall),incorrect_rate,7,0.000,0.000,0.000
C5(firewall),abstain_rate,7,0.000,0.000,0.000
C5(firewall),AIR,7,0.000,0.000,0.000
C5(firewall),PCR,7,0.000,0.000,0.000
C5(firewall),SLR,7,1.000,1.000,1.000
C5(firewall),CLR,7,0.000,0.000,0.000
C5(firewall),PRE,7,0.000,0.000,0.000
C5(firewall),parse_ok_rate,7,1.000,1.000,1.000
C5(firewall),poison_retrieved_rate,7,1.000,1.000,1.000
C5(firewall),canonical_retrieved_rate,7,1.000,1.000,1.000
C6-seed(limpio+fw),ASR,7,0.000,0.000,0.000
C6-seed(limpio+fw),TFCA,7,0.000,0.000,0.000
C6-seed(limpio+fw),DDR,7,0.000,0.000,0.000
C6-seed(limpio+fw),incorrect_rate,7,0.000,0.000,0.000
C6-seed(limpio+fw),abstain_rate,7,0.000,0.000,0.000
C6-seed(limpio+fw),AIR,7,0.000,0.000,0.000
C6-seed(limpio+fw),PCR,7,0.000,0.000,0.000
C6-seed(limpio+fw),SLR,7,0.000,0.000,0.000
C6-seed(limpio+fw),CLR,7,0.143,0.000,0.429
C6-seed(limpio+fw),PRE,7,0.000,0.000,0.000
C6-seed(limpio+fw),parse_ok_rate,7,1.000,1.000,1.000
C6-seed(limpio+fw),poison_retrieved_rate,7,0.000,0.000,0.000
C6-seed(limpio+fw),canonical_retrieved_rate,7,1.000,1.000,1.000
C6-probe(limpio+fw),ASR,7,0.000,0.000,0.000
C6-probe(limpio+fw),TFCA,7,0.000,0.000,0.000
C6-probe(limpio+fw),DDR,7,0.000,0.000,0.000
C6-probe(limpio+fw),incorrect_rate,7,0.000,0.000,0.000
C6-probe(limpio+fw),abstain_rate,7,0.000,0.000,0.000
C6-probe(limpio+fw),AIR,7,0.000,0.000,0.000
C6-probe(limpio+fw),PCR,7,0.000,0.000,0.000
C6-probe(limpio+fw),SLR,7,0.000,0.000,0.000
C6-probe(limpio+fw),CLR,7,0.000,0.000,0.000
C6-probe(limpio+fw),PRE,7,0.000,0.000,0.000
C6-probe(limpio+fw),parse_ok_rate,7,1.000,1.000,1.000
C6-probe(limpio+fw),poison_retrieved_rate,7,0.000,0.000,0.000
C6-probe(limpio+fw),canonical_retrieved_rate,7,1.000,1.000,1.000
