condition,metric,n_pairs,mean,ci95_low,ci95_high
C5(firewall),PRE,4,0.000,0.000,0.000
C5(firewall),parse_ok_rate,4,1.000,1.000,1.000
C5(firewall),poison_retrieved_rate,4,0.250,0.000,0.750
C5(firewall),canonical_retrieved_rate,4,1.000,1.000,1.000
C6-seed(limpio+fw),ASR,4,0.000,0.000,0.000
C6-seed(limpio+fw),TFCA,4,0.000,0.000,0.000
C6-seed(limpio+fw),DDR,4,-0.083,-0.250,0.000
C6-seed(limpio+fw),incorrect_rate,4,0.000,0.000,0.000
C6-seed(limpio+fw),abstain_rate,4,0.000,0.000,0.000
C6-seed(limpio+fw),AIR,4,0.000,0.000,0.000
C6-seed(limpio+fw),PCR,4,0.000,0.000,0.000
C6-seed(limpio+fw),SLR,4,0.000,0.000,0.000
C6-seed(limpio+fw),CLR,4,0.000,0.000,0.000
C6-seed(limpio+fw),PRE,4,0.000,0.000,0.000
C6-seed(limpio+fw),parse_ok_rate,4,1.000,1.000,1.000
C6-seed(limpio+fw),poison_retrieved_rate,4,0.000,0.000,0.000
C6-seed(limpio+fw),canonical_retrieved_rate,4,1.000,1.000,1.000
C6-probe(limpio+fw),ASR,4,0.000,0.000,0.000
C6-probe(limpio+fw),TFCA,4,0.000,0.000,0.000
C6-probe(limpio+fw),DDR,4,-0.083,-0.250,0.000
C6-probe(limpio+fw),incorrect_rate,4,0.000,0.000,0.000
C6-probe(limpio+fw),abstain_rate,4,0.000,0.000,0.000
C6-probe(limpio+fw),AIR,4,0.000,0.000,0.000
C6-probe(limpio+fw),PCR,4,0.000,0.000,0.000
C6-probe(limpio+fw),SLR,4,0.000,0.000,0.000
C6-probe(limpio+fw),CLR,4,0.000,0.000,0.000
C6-probe(limpio+fw),PRE,4,0.000,0.000,0.000
C6-probe(limpio+fw),parse_ok_rate,4,1.000,1.000,1.000
C6-probe(limpio+fw),poison_retrieved_rate,4,0.000,0.000,0.000
C6-probe(limpio+fw),canonical_retrieved_rate,4,1.000,1.000,1.000
